filepath,class_id,species
000/3956ff97-bb95-4b2d-a77c-e4d04238bddd.jpg,0,Eratigena duellica
000/6b2a588a-f269-4bfc-b41e-bd5144b7d4fa.jpg,0,Eratigena duellica
000/9f0b6dd1-a507-4d71-bd3a-6d3f304af663.jpg,0,Eratigena duellica
000/899e59a8-34a0-480a-842c-40bcf9209b04.jpg,0,Eratigena duellica
000/40f79ec3-e715-4585-8731-6d8765ba79f0.jpg,0,Eratigena duellica
000/372e6db7-390d-4b42-890d-f449d0ad2e44.jpg,0,Eratigena duellica
000/60ebdd17-7046-4161-a47a-18440c19fb59.jpg,0,Eratigena duellica
000/d89954a4-1d87-4233-8619-4cd812b05058.jpg,0,Eratigena duellica
000/200ad4e2-e3e4-4dbc-8665-ea4b652d405f.jpg,0,Eratigena duellica
000/af362b73-5568-4738-817d-870935783ee3.jpg,0,Eratigena duellica
000/dfe59326-c23d-4f37-9a98-321e2d734512.jpg,0,Eratigena duellica
000/b2cb859f-df71-4c30-9638-2323e1cb3f0c.jpg,0,Eratigena duellica
000/4569dbfc-6538-4626-9b17-c01b87a7e2f9.jpg,0,Eratigena duellica
000/52400437-7306-421b-a7a0-41dc04c540bc.jpg,0,Eratigena duellica
000/58963f63-739e-4ca5-a53d-be79238eb216.jpg,0,Eratigena duellica
000/29868b4f-ae49-45a9-9182-8873e620af3f.jpg,0,Eratigena duellica
000/a88ab8b0-3667-42f9-99de-5b292c5fc389.jpg,0,Eratigena duellica
000/4e18b43b-37f8-4068-b890-c6d0e280ec44.jpg,0,Eratigena duellica
000/a4ae92a3-791d-4d93-8ab4-4d1e4c83076a.jpg,0,Eratigena duellica
000/41663c8c-4667-4729-b9fd-96f04fbed30a.jpg,0,Eratigena duellica
000/a24f3711-3deb-40c4-8956-99d107a0c3fc.jpg,0,Eratigena duellica
000/316aa7c9-c1b4-4bf6-95ad-fe76e8ec014c.jpg,0,Eratigena duellica
000/72b98d75-4dd6-4c17-9a6c-eadd45ff01c7.jpg,0,Eratigena duellica
000/3f5a83c6-9efc-4bad-b2f9-f2b98f872702.jpg,0,Eratigena duellica
000/f06f021e-a4f6-4e6a-8f11-6b63c32a4cb0.jpg,0,Eratigena duellica
000/241379b2-6b8d-4ad1-86b2-26b97bbe4fb9.jpg,0,Eratigena duellica
000/418851a3-7769-4259-a938-2f2047179737.jpg,0,Eratigena duellica
000/78c0a555-1a2f-4881-9cd8-da423d152305.jpg,0,Eratigena duellica
000/6576ca7d-7d42-4c44-b5f0-1552220edae0.jpg,0,Eratigena duellica
000/aeb949d2-9419-4ae9-a781-da000eabac5c.jpg,0,Eratigena duellica
000/9b02477a-9c75-4032-98fd-42788ee0cd78.jpg,0,Eratigena duellica
000/f73f8cb2-10b0-40a4-9207-60f48efa02d0.jpg,0,Eratigena duellica
000/95c8aabc-23a0-4136-838a-ff018c4a7500.jpg,0,Eratigena duellica
000/c346889b-9e1c-4ef9-8b8c-d58c5d662f18.jpg,0,Eratigena duellica
000/0e2a4bfb-fc15-4d44-a15e-af87f4d207d3.jpg,0,Eratigena duellica
000/3bbfa95a-8801-449c-8655-17f619fd2bc4.jpg,0,Eratigena duellica
000/4f7e26eb-3e45-40cc-bba6-14d955143306.jpg,0,Eratigena duellica
000/52a41351-b05a-406f-a142-8c446c0eec04.jpg,0,Eratigena duellica
000/119fa789-6249-4e2f-922d-4948604a979a.jpg,0,Eratigena duellica
000/e2e8a5ea-d0be-4076-b061-c9e8f307d3e2.jpg,0,Eratigena duellica
001/16e98df9-6c3e-4af3-b3d7-06ddd8370c9e.jpg,1,Araneus quadratus
001/a1eae82a-5157-4ba7-a7dd-6bc4d80a5c91.jpg,1,Araneus quadratus
001/200bdde4-bd31-4446-b08b-80e54d6877d4.jpg,1,Araneus quadratus
001/0312d2e4-aa5b-4fc4-bd71-b3639338bd3b.jpg,1,Araneus quadratus
001/0f3178cc-bbb2-47db-94d6-60591107fc17.jpg,1,Araneus quadratus
001/3eacdc69-095f-4c24-b808-800292f5d28f.jpg,1,Araneus quadratus
001/0445d238-5d16-405f-bc01-a0fb9f3043de.jpg,1,Araneus quadratus
001/625d7cf5-deb5-41ea-99a7-d66b7d03827e.jpg,1,Araneus quadratus
001/7cf1c4d7-5746-4890-a1aa-e88698eae93c.jpg,1,Araneus quadratus
001/73c97f36-c711-4b31-b67d-3083f13772ad.jpg,1,Araneus quadratus
